CUSTOMER_ID,MATERIAL_ID,CALENDAR_DAY,QUANTITY,NET_VALUE,CUSTOMER_NAME,CUSTOMER_TYPE,REGION,COUNTRY,SALES_OFFICE_DESC,MATERIAL_DESC,MATERIAL_TYPE_DESC,PACK_TYPE_DESC
500113696,116366,12/8/2023,14,77,PUBLIX #1500113696,DSD,BC,US,Calgary,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500113696,116366,11/21/2023,14,77,PUBLIX #1500113696,DSD,BC,US,Calgary,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500113696,116366,11/18/2023,14,77,PUBLIX #1500113696,DSD,BC,US,Calgary,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500113696,116366,11/17/2023,14,77,PUBLIX #1500113696,DSD,BC,US,Calgary,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500113696,116366,11/16/2023,14,77,PUBLIX #1500113696,DSD,BC,US,Calgary,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500113696,116366,11/14/2023,14,77,PUBLIX #1500113696,DSD,BC,US,Calgary,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500113696,116366,11/11/2023,14,77,PUBLIX #1500113696,DSD,BC,US,Calgary,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500113719,115583,4/22/2023,12,7,WALMART #500113719,FSV,TX,US,Austin,115583COKE,SCL Finished Goods: Bev,Aluminum Can
500113737,116366,4/15/2023,14,77,PUBLIX #1500113737,FSV,OK,US,May Avenue,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500113737,116366,4/1/2023,14,77,PUBLIX #1500113737,FSV,OK,US,May Avenue,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500113737,116366,4/20/2023,14,77,PUBLIX #1500113737,FSV,OK,US,May Avenue,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500113737,116366,4/6/2023,14,77,PUBLIX #1500113737,FSV,OK,US,May Avenue,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500116434,116366,1/1/2024,14,80,PUBLIX #1500116434,Ecom,BC,US,Calgary,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500125969,116366,1/1/2024,14,80,PUBLIX #1500125969,Ecom,BC,US,Calgary,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500113874,116366,4/29/2023,16,87,SUPER TAR500113874,DSD,TX,US,Corpus Christi,116366 DAS,SCL Finished Goods: Bev,Plastic Bottle - Other
500113888,115583,4/8/2023,36,21,PUBLIX #1500113888,DSD,TX,US,Northpoint Combo,115583COKE,SCL Finished Goods: Bev,Aluminum Can
